Name,Sex,Accuracy,Samples,Topic,Year,Month,Covid,Server
Naoki,male,98,944,Mathematics,2018,April,,Arxiv
Federica,female,99,23181,Mathematics,2018,April,,Arxiv
Siham,female,97,7234,Mathematics,2018,April,,Arxiv
Jorge,male,99,88545,Mathematics,2018,April,,Arxiv
Ryo,male,97,2815,Mathematics,2018,April,,Arxiv
Verónica,female,98,3529,Mathematics,2018,April,,Arxiv
Jin,male,72,4739,Mathematics,2018,April,,Arxiv
Yuhao,male,92,50,Mathematics,2018,April,,Arxiv
Neza,female,79,114,Mathematics,2018,April,,Arxiv
Yuxuan,male,62,82,Mathematics,2018,April,,Arxiv
Qiang,male,97,531,Mathematics,2018,April,,Arxiv
Qiang,male,97,531,Mathematics,2018,April,,Arxiv
Fei,male,62,1203,Mathematics,2018,April,,Arxiv
Binbin,male,74,194,Mathematics,2018,April,,Arxiv
Daoli,male,75,4,Mathematics,2018,April,,Arxiv
Seyed,male,97,262,Mathematics,2018,April,,Arxiv
Hui,female,52,1684,Mathematics,2018,April,,Arxiv
Aaron,male,99,36714,Mathematics,2018,April,,Arxiv
Sylvain,male,98,23757,Mathematics,2018,April,,Arxiv
Eleftherios,male,100,88,Mathematics,2018,April,,Arxiv
Vicky,female,63,23972,Mathematics,2018,April,,Arxiv
Louis,male,97,22473,Mathematics,2018,April,,Arxiv
Mourad,male,98,17473,Mathematics,2018,April,,Arxiv
Prasanta,male,100,676,Mathematics,2018,April,,Arxiv
Sören,male,100,1173,Mathematics,2018,April,,Arxiv
Volker,male,99,3081,Mathematics,2018,April,,Arxiv
Botond,male,99,254,Mathematics,2018,April,,Arxiv
Xiang,male,77,750,Mathematics,2018,April,,Arxiv
C.,male,59,943,Mathematics,2018,April,,Arxiv
Eric,male,99,121922,Mathematics,2018,April,,Arxiv
Marc,male,99,77461,Mathematics,2018,April,,Arxiv
Valentina,female,99,53479,Mathematics,2018,April,,Arxiv
Pedro,male,99,109853,Mathematics,2018,April,,Arxiv
Jaepil,male,100,19,Mathematics,2018,April,,Arxiv
Young-Jun,male,100,24,Mathematics,2018,April,,Arxiv
Imene,female,98,2005,Mathematics,2018,April,,Arxiv
Michiel,male,99,1771,Mathematics,2018,April,,Arxiv
Avhishek,male,100,7,Mathematics,2018,April,,Arxiv
J.,male,82,2236,Mathematics,2018,April,,Arxiv
Wasiur,male,100,7,Mathematics,2018,April,,Arxiv
Irène,female,98,908,Mathematics,2018,April,,Arxiv
Dimitris,male,99,10807,Mathematics,2018,April,,Arxiv
Chris,male,93,163699,Mathematics,2018,April,,Arxiv
Frederik,male,98,2443,Mathematics,2018,April,,Arxiv
Ilya,male,97,3968,Mathematics,2018,April,,Arxiv
Danul,male,100,3,Mathematics,2018,April,,Arxiv
Adil,male,97,24547,Mathematics,2018,April,,Arxiv
Willian,male,99,4520,Mathematics,2018,April,,Arxiv
Craig,male,100,24286,Mathematics,2018,April,,Arxiv
Naoki,male,98,944,Mathematics,2018,April,,Arxiv
Boris,male,99,15168,Mathematics,2018,April,,Arxiv
Christine,female,98,55857,Mathematics,2018,April,,Arxiv
Xuemei,female,100,94,Mathematics,2018,April,,Arxiv
Victor,male,99,78043,Mathematics,2018,April,,Arxiv
Yury,male,84,1687,Mathematics,2018,April,,Arxiv
Jan,male,92,104026,Mathematics,2018,April,,Arxiv
Parikshit,male,100,423,Mathematics,2018,April,,Arxiv
Christina,female,94,36391,Mathematics,2018,April,,Arxiv
Hennie,male,60,1396,Mathematics,2018,April,,Arxiv
Alí,male,86,64,Mathematics,2018,April,,Arxiv
Kyle,male,98,25335,Mathematics,2018,April,,Arxiv
Davide,male,99,46537,Mathematics,2018,April,,Arxiv
Xumin,male,71,7,Mathematics,2018,April,,Arxiv
Binhua,male,75,4,Mathematics,2018,April,,Arxiv
Ernest,male,99,8319,Mathematics,2018,April,,Arxiv
Leonid,male,99,2192,Mathematics,2018,April,,Arxiv
Inom,male,100,18,Mathematics,2018,April,,Arxiv
Neyaz,male,98,80,Mathematics,2018,April,,Arxiv
Geoffrey,male,99,11232,Mathematics,2018,April,,Arxiv
Bin,male,89,2162,Mathematics,2018,April,,Arxiv
Kazumasa,male,100,108,Mathematics,2018,April,,Arxiv
Ondrej,male,99,2964,Mathematics,2018,April,,Arxiv
Sara,female,98,153041,Mathematics,2018,April,,Arxiv
Nguyen,male,64,12268,Mathematics,2018,April,,Arxiv
Viacheslav,male,99,381,Mathematics,2018,April,,Arxiv
Romeo,male,99,16671,Mathematics,2018,April,,Arxiv
Zhaoting,female,67,3,Mathematics,2018,April,,Arxiv
Francois,male,98,17870,Mathematics,2018,April,,Arxiv
Ferit,male,96,5029,Mathematics,2018,April,,Arxiv
Mats,male,99,3311,Mathematics,2018,April,,Arxiv
Oleg,male,100,12219,Mathematics,2018,April,,Arxiv
Hamid,male,98,26452,Mathematics,2018,April,,Arxiv
Mohammad,male,99,47588,Mathematics,2018,April,,Arxiv
Pham,male,62,2611,Mathematics,2018,April,,Arxiv
Vasileios,male,100,237,Mathematics,2018,April,,Arxiv
David,male,99,381770,Mathematics,2018,April,,Arxiv
Alexander,male,99,56237,Mathematics,2018,April,,Arxiv
V.,male,67,354,Mathematics,2018,April,,Arxiv
Noam,male,90,772,Mathematics,2018,April,,Arxiv
Kayvan,male,98,191,Mathematics,2018,April,,Arxiv
Martin,male,98,139211,Mathematics,2018,April,,Arxiv
Antun,male,99,218,Mathematics,2018,April,,Arxiv
Mark,male,100,48064,Mathematics,2018,April,,Arxiv
Mitsuhiro,male,99,113,Mathematics,2018,April,,Arxiv
Tommaso,male,99,7442,Mathematics,2018,April,,Arxiv
Belkacem,male,96,1108,Mathematics,2018,April,,Arxiv
Sukrit,male,99,151,Mathematics,2018,April,,Arxiv
Yanyan,female,71,345,Mathematics,2018,April,,Arxiv
Ruy,male,98,733,Mathematics,2018,April,,Arxiv
Maria,female,97,245074,Mathematics,2018,April,,Arxiv
Roman,male,100,7094,Mathematics,2018,April,,Arxiv
Arran,male,98,342,Mathematics,2018,April,,Arxiv
Stephane,male,97,39455,Mathematics,2018,April,,Arxiv
Vu,male,82,2459,Mathematics,2018,April,,Arxiv
Daniele,male,87,46369,Mathematics,2018,April,,Arxiv
Angsuman,male,100,21,Mathematics,2018,April,,Arxiv
Neha,female,98,11068,Mathematics,2018,April,,Arxiv
Juan,male,98,106011,Mathematics,2018,April,,Arxiv
Wei,male,73,4003,Mathematics,2018,April,,Arxiv
Sara,female,98,153041,Mathematics,2018,April,,Arxiv
Maurício,male,100,869,Mathematics,2018,April,,Arxiv
Oleg,male,100,12219,Mathematics,2018,April,,Arxiv
Ruchi,female,98,1697,Mathematics,2018,April,,Arxiv
Michael,male,99,211741,Mathematics,2018,April,,Arxiv
Eduardo,male,99,50597,Mathematics,2018,April,,Arxiv
Marcos,male,99,43582,Mathematics,2018,April,,Arxiv
Amir,male,98,33635,Mathematics,2018,April,,Arxiv
Abhishek,male,100,27387,Mathematics,2018,April,,Arxiv
Trairat,male,88,17,Mathematics,2018,April,,Arxiv
M.,male,73,3216,Mathematics,2018,April,,Arxiv
Sang-Gyun,male,88,2463,Mathematics,2018,April,,Arxiv
Simon,male,98,57458,Mathematics,2018,April,,Arxiv
Johannes,male,99,7870,Mathematics,2018,April,,Arxiv
Noah,male,96,6863,Mathematics,2018,April,,Arxiv
,,,,Mathematics,2018,April,,Arxiv
Bishnu,male,96,691,Mathematics,2018,April,,Arxiv
Nikos,male,99,14564,Mathematics,2018,April,,Arxiv
Reda,male,95,13004,Mathematics,2018,April,,Arxiv
Joseph,male,99,63161,Mathematics,2018,April,,Arxiv
Pierre,male,99,64439,Mathematics,2018,April,,Arxiv
Max,male,98,69969,Mathematics,2018,April,,Arxiv
S.,male,64,1577,Mathematics,2018,April,,Arxiv
Paolo,male,99,60571,Mathematics,2018,April,,Arxiv
Masaru,male,99,346,Mathematics,2018,April,,Arxiv
R.,male,78,1085,Mathematics,2018,April,,Arxiv
Aline,female,98,25640,Mathematics,2018,April,,Arxiv
S.,male,64,1577,Mathematics,2018,April,,Arxiv
George,male,99,63411,Mathematics,2018,April,,Arxiv
Joseph,male,99,63161,Mathematics,2018,April,,Arxiv
Joachim,male,99,6027,Mathematics,2018,April,,Arxiv
Daniel,male,99,257742,Mathematics,2018,April,,Arxiv
Helge,female,54,2126,Mathematics,2018,April,,Arxiv
Alessio,male,99,26298,Mathematics,2018,April,,Arxiv
Tomoyuki,male,98,303,Mathematics,2018,April,,Arxiv
Chang,male,72,2129,Mathematics,2018,April,,Arxiv
Jean-Luc,male,99,6928,Mathematics,2018,April,,Arxiv
Horia,male,75,404,Mathematics,2018,April,,Arxiv
Yuanyuan,female,90,239,Mathematics,2018,April,,Arxiv
Antonio,male,99,180825,Mathematics,2018,April,,Arxiv
Daniele,male,87,46369,Mathematics,2018,April,,Arxiv
Nobukazu,male,100,18,Mathematics,2018,April,,Arxiv
Tomasz,male,99,30500,Mathematics,2018,April,,Arxiv
Michel,male,97,68146,Mathematics,2018,April,,Arxiv
Ron,male,99,19779,Mathematics,2018,April,,Arxiv
Michael,male,99,211741,Mathematics,2018,April,,Arxiv
Niels,male,99,4587,Mathematics,2018,April,,Arxiv
Martin,male,98,139211,Mathematics,2018,April,,Arxiv
Fouzul,male,90,10,Mathematics,2018,April,,Arxiv
Rosanna,female,98,4697,Mathematics,2018,April,,Arxiv
Kai,male,96,28964,Mathematics,2018,April,,Arxiv
B.,male,68,854,Mathematics,2018,April,,Arxiv
Antoine,male,99,33499,Mathematics,2018,April,,Arxiv
M.,male,73,3216,Mathematics,2018,April,,Arxiv
,,,,Mathematics,2018,April,,Arxiv
Tomas,male,99,30161,Mathematics,2018,April,,Arxiv
The,male,87,10436,Mathematics,2018,April,,Arxiv
Fabien,male,98,21300,Mathematics,2018,April,,Arxiv
Bilal,male,97,28874,Mathematics,2018,April,,Arxiv
Steven,male,99,59951,Mathematics,2018,April,,Arxiv
Feyza,female,96,1343,Mathematics,2018,April,,Arxiv
Serkan,male,97,58988,Mathematics,2018,April,,Arxiv
Jianze,male,75,4,Mathematics,2018,April,,Arxiv
Francesco,male,99,74458,Mathematics,2018,April,,Arxiv
Kayvan,male,98,191,Mathematics,2018,April,,Arxiv
Leandro,male,99,22159,Mathematics,2018,April,,Arxiv
Catalin,male,99,4368,Mathematics,2018,April,,Arxiv
Catalin,male,99,4368,Mathematics,2018,April,,Arxiv
Marcel,male,99,41885,Mathematics,2018,April,,Arxiv
Richard,male,99,97659,Mathematics,2018,April,,Arxiv
Branimir,male,99,352,Mathematics,2018,April,,Arxiv
Akio,male,96,305,Mathematics,2018,April,,Arxiv
Moharram,male,100,34,Mathematics,2018,April,,Arxiv
G.,male,76,810,Mathematics,2018,April,,Arxiv
Albert,male,98,31368,Mathematics,2018,April,,Arxiv
Bai,male,68,466,Mathematics,2018,April,,Arxiv
Antonin,male,98,1899,Mathematics,2018,April,,Arxiv
Michael,male,99,211741,Mathematics,2018,April,,Arxiv
Arnold,male,99,11211,Mathematics,2018,April,,Arxiv
Arnold,male,99,11211,Mathematics,2018,April,,Arxiv
Tal,male,69,1266,Mathematics,2018,April,,Arxiv
Thinh,male,93,830,Mathematics,2018,April,,Arxiv
Peter,male,99,146529,Mathematics,2018,April,,Arxiv
Jim,male,99,40318,Mathematics,2018,April,,Arxiv
Serafin,male,96,564,Mathematics,2018,April,,Arxiv
Pavel,male,98,48181,Mathematics,2018,April,,Arxiv
Aidyn,male,99,3804,Mathematics,2018,April,,Arxiv
Gilles,male,99,18113,Mathematics,2018,April,,Arxiv
Sergei,male,99,4212,Mathematics,2018,April,,Arxiv
,,,,Mathematics,2018,April,,Arxiv
Goutam,male,100,1010,Mathematics,2018,April,,Arxiv
Henning,male,97,1892,Mathematics,2018,April,,Arxiv
Federico,male,99,28505,Mathematics,2018,April,,Arxiv
Onur,male,97,30437,Mathematics,2018,April,,Arxiv
Yury,male,84,1687,Mathematics,2018,April,,Arxiv
Alexandru,male,99,5316,Mathematics,2018,April,,Arxiv
Pedro,male,99,109853,Mathematics,2018,April,,Arxiv
Hao,male,84,2105,Mathematics,2018,April,,Arxiv
Kyle,male,98,25335,Mathematics,2018,April,,Arxiv
Per,male,97,5508,Mathematics,2018,April,,Arxiv
Mengying,female,100,25,Mathematics,2018,April,,Arxiv
Valentin,male,98,17560,Mathematics,2018,April,,Arxiv
Kai,male,96,28964,Mathematics,2018,April,,Arxiv
Diego,male,99,67382,Mathematics,2018,April,,Arxiv
Jürgen,male,99,9431,Mathematics,2018,April,,Arxiv
Robert,male,99,145540,Mathematics,2018,April,,Arxiv
Sylvain,male,98,23757,Mathematics,2018,April,,Arxiv
Armin,male,98,5364,Mathematics,2018,April,,Arxiv
Andrew,male,99,82448,Mathematics,2018,April,,Arxiv
Hua,male,52,891,Mathematics,2018,April,,Arxiv
Arya,male,77,3386,Mathematics,2018,April,,Arxiv
Anton,male,99,24300,Mathematics,2018,April,,Arxiv
Robert,male,99,145540,Mathematics,2018,April,,Arxiv
Carlisle,male,81,72,Mathematics,2018,April,,Arxiv
Daan,male,91,2255,Mathematics,2018,April,,Arxiv
Sebastiaan,male,100,971,Mathematics,2018,April,,Arxiv
Brian,male,99,69588,Mathematics,2018,April,,Arxiv
S.,male,64,1577,Mathematics,2018,April,,Arxiv
Cristian,male,99,46450,Mathematics,2018,April,,Arxiv
Yuri,male,81,8959,Mathematics,2018,April,,Arxiv
Arnab,male,100,1800,Mathematics,2018,April,,Arxiv
Agnieszka,female,98,37758,Mathematics,2018,April,,Arxiv
Shamil,male,98,687,Mathematics,2018,April,,Arxiv
Geoffrey,male,99,11232,Mathematics,2018,April,,Arxiv
Vishaal,male,100,138,Mathematics,2018,April,,Arxiv
Merlin,male,71,2039,Mathematics,2018,April,,Arxiv
Angelo,male,98,42678,Mathematics,2018,April,,Arxiv
Georg,male,99,4616,Mathematics,2018,April,,Arxiv
Lucrezia,female,98,2261,Mathematics,2018,April,,Arxiv
Yue,female,58,1014,Mathematics,2018,April,,Arxiv
Zuzanna,female,98,1690,Mathematics,2018,April,,Arxiv
Valentin,male,98,17560,Mathematics,2018,April,,Arxiv
Dániel,male,99,1614,Mathematics,2018,April,,Arxiv
Varun,male,100,8489,Mathematics,2018,April,,Arxiv
Westin,male,91,66,Mathematics,2018,April,,Arxiv
Jianhua,male,84,67,Mathematics,2018,April,,Arxiv
Régis,male,99,2570,Mathematics,2018,April,,Arxiv
Li,female,53,4165,Mathematics,2018,April,,Arxiv
Or,male,68,514,Mathematics,2018,April,,Arxiv
Sharif,male,98,1848,Mathematics,2018,April,,Arxiv
Shane,male,93,15589,Mathematics,2018,April,,Arxiv
Karsten,male,99,3416,Mathematics,2018,April,,Arxiv
Cain,male,96,473,Mathematics,2018,April,,Arxiv
Bernard,male,98,30260,Mathematics,2018,April,,Arxiv
Ekeoma,male,67,15,Mathematics,2018,April,,Arxiv
Rongqing,male,75,4,Mathematics,2018,April,,Arxiv
Luciana,female,99,19349,Mathematics,2018,April,,Arxiv
Oksana,female,98,6153,Mathematics,2018,April,,Arxiv
Yuliya,female,98,2038,Mathematics,2018,April,,Arxiv
Fredrik,male,99,7147,Mathematics,2018,April,,Arxiv
Bialy,male,86,21,Mathematics,2018,April,,Arxiv
Yuxia,female,96,28,Mathematics,2018,April,,Arxiv
Ahmad,male,98,61532,Mathematics,2018,April,,Arxiv
Sara,female,98,153041,Mathematics,2018,April,,Arxiv
Vigirdas,male,75,4,Mathematics,2018,April,,Arxiv
Carsten,male,99,5153,Mathematics,2018,April,,Arxiv
Rainis,male,89,19,Mathematics,2018,April,,Arxiv
